time,odds,competitor
0.05334901809692383,20.0,0
0.05334901809692383,20.0,1
0.05334901809692383,20.0,2
0.05334901809692383,20.0,3
0.07348299026489258,1.1,0
0.07348299026489258,1.1,1
0.07348299026489258,1.9833333333333334,2
0.07348299026489258,1.1,3
0.08917689323425293,1.1,0
0.08917689323425293,1.1,1
0.08917689323425293,1.9833333333333334,2
0.08917689323425293,1.3705882352941174,3
0.12015700340270996,1.1,0
0.12015700340270996,1.15,1
0.12015700340270996,1.9833333333333334,2
0.12015700340270996,3.025,3
0.13573384284973145,1.1,0
0.13573384284973145,1.15,1
0.13573384284973145,1.9833333333333334,2
0.13573384284973145,3.025,3
0.14587688446044922,1.1,0
0.14587688446044922,1.15,1
0.14587688446044922,1.9833333333333334,2
0.14587688446044922,3.025,3
0.16221308708190918,1.1,0
0.16221308708190918,1.15,1
0.16221308708190918,1.9833333333333334,2
0.16221308708190918,3.025,3
0.17774605751037598,1.1,0
0.17774605751037598,1.15,1
0.17774605751037598,1.9833333333333334,2
0.17774605751037598,3.025,3
0.20458197593688965,1.1,0
0.20458197593688965,1.2157894736842105,1
0.20458197593688965,1.9833333333333334,2
0.20458197593688965,3.025,3
0.22574090957641602,1.1,0
0.22574090957641602,1.2888888888888888,1
0.22574090957641602,2.172727272727273,2
0.22574090957641602,3.025,3
0.24208879470825195,1.1,0
0.24208879470825195,1.2888888888888888,1
0.24208879470825195,2.172727272727273,2
0.24208879470825195,3.025,3
0.26306796073913574,1.1,0
0.26306796073913574,1.2888888888888888,1
0.26306796073913574,2.172727272727273,2
0.26306796073913574,2.025,3
0.2775540351867676,1.1,0
0.2775540351867676,1.2888888888888888,1
0.2775540351867676,2.172727272727273,2
0.2775540351867676,3.025,3
0.2981600761413574,1.1,0
0.2981600761413574,1.2888888888888888,1
0.2981600761413574,2.6777777777777776,2
0.2981600761413574,3.025,3
0.32126712799072266,1.1,0
0.32126712799072266,1.2888888888888888,1
0.32126712799072266,2.6777777777777776,2
0.32126712799072266,3.025,3
0.34940314292907715,1.1,0
0.34940314292907715,1.2888888888888888,1
0.34940314292907715,2.6777777777777776,2
0.34940314292907715,3.025,3
0.36458492279052734,1.1,0
0.36458492279052734,1.2888888888888888,1
0.36458492279052734,2.6777777777777776,2
0.36458492279052734,3.025,3
0.41305994987487793,1.1,0
0.41305994987487793,1.2888888888888888,1
0.41305994987487793,2.6777777777777776,2
0.41305994987487793,3.471428571428571,3
0.4441487789154053,1.1,0
0.4441487789154053,1.2888888888888888,1
0.4441487789154053,2.6777777777777776,2
0.4441487789154053,4.066666666666667,3
0.46072888374328613,1.1,0
0.46072888374328613,1.2888888888888888,1
0.46072888374328613,2.6777777777777776,2
0.46072888374328613,4.066666666666667,3
0.4830489158630371,1.1,0
0.4830489158630371,1.2888888888888888,1
0.4830489158630371,2.6777777777777776,2
0.4830489158630371,4.066666666666667,3
0.498485803604126,1.1,0
0.498485803604126,1.2888888888888888,1
0.498485803604126,2.6777777777777776,2
0.498485803604126,4.066666666666667,3
0.5189809799194336,1.1,0
0.5189809799194336,1.2888888888888888,1
0.5189809799194336,2.6777777777777776,2
0.5189809799194336,4.066666666666667,3
0.5358109474182129,1.1,0
0.5358109474182129,1.3705882352941174,1
